Category,Latitude,Longitude
Residential,27.7726355,85.3552192
Residential,27.7701286,85.3540145
Residential,27.7701385,85.3545543
Residential,27.7700115,85.3546211
Residential,27.7720699,85.3508691
Residential,27.7724399,85.3511477
Residential,27.7724322,85.3511184
Residential,27.7724595,85.351152
Residential,27.7723015,85.351059
Residential,27.7682176,85.3539205
Residential,27.7681842,85.3537488
Residential,27.7690383,85.3550758
Residential,27.7687138,85.3539885
Residential,27.7706032,85.3504196
Residential,27.7712943,85.3487147
Residential,27.7710242,85.3484872
Residential,27.7705571,85.3509692
Residential,27.7707304,85.3509506
Residential,27.7704613,85.3513243
Residential,27.7709396,85.3487341
Residential,27.7708346,85.3496316
Residential,27.7695974,85.3501274
Residential,27.7673457,85.3529108
Residential,27.7767119,85.3493025
Residential,27.7758784,85.3466392
Residential,27.7763534,85.3469223
Residential,27.7765753,85.3467706
Residential,27.7771911,85.3488292
Residential,27.7773785,85.3493123
Residential,27.7761927,85.3464904
Residential,27.7776189,85.349287
Residential,27.777484,85.345593
Residential,27.776398,85.3463967
Residential,27.7759656,85.347007
Residential,27.7761032,85.3469488
Residential,27.7765179,85.3465741
Residential,27.7766522,85.3465101
Residential,27.7775214,85.3491472
Residential,27.7760619,85.3468569
Residential,27.7781067,85.3482283
Residential,27.77701,85.3463234
Residential,27.7769217,85.3462024
Residential,27.7767656,85.3490327
Residential,27.7771733,85.3493084
Residential,27.7763683,85.3466829
Residential,27.7772082,85.3485917
Residential,27.7771921,85.3493208
Residential,27.7762128,85.346199
Residential,27.7760775,85.3466177
Residential,27.7773842,85.349476
Residential,27.7772179,85.3493384
Residential,27.777174,85.3465712
Residential,27.7769599,85.345796
Residential,27.7770812,85.3493312
Residential,27.7759643,85.3480046
Residential,27.7770483,85.3491939
Residential,27.7769961,85.3490312
Residential,27.7770224,85.3456232
Residential,27.7767278,85.3464117
Residential,27.7768622,85.3477784
Residential,27.7774685,85.3492586
Residential,27.7767229,85.3459644
Residential,27.7769253,85.3480179
Residential,27.7758879,85.3465606
Residential,27.7687056,85.3476909
Residential,27.7696751,85.3484662
Residential,27.769716,85.3488211
Residential,27.7696571,85.3487162
Residential,27.7716213,85.3472183
Residential,27.7727763,85.3483884
Residential,27.7665796,85.3471589
Residential,27.7672976,85.3474777
Residential,27.767682,85.3473639
Residential,27.7672976,85.3483099
Residential,27.7719759,85.3480519
Residential,27.7723721,85.3489442
Residential,27.7716946,85.3487137
Residential,27.7731801,85.3504379
Residential,27.7721402,85.3494831
Residential,27.7722901,85.3491037
Residential,27.7732482,85.3507498
Residential,27.7732909,85.350778
Residential,27.7722141,85.3486505
Residential,27.771854,85.3483138
Residential,27.7728083,85.3486141
Residential,27.7733956,85.3508122
Residential,27.7718365,85.3489088
Residential,27.7715716,85.3487875
Residential,27.7716173,85.3480457
Residential,27.7716239,85.3481898
Residential,27.7727952,85.3484762
Residential,27.7721931,85.3487232
Residential,27.7734994,85.3506173
Residential,27.7722081,85.349592
Residential,27.77245,85.3486769
Residential,27.7723714,85.3486084
Residential,27.7723902,85.3486193
Residential,27.7725913,85.3481992
Residential,27.7721922,85.3474547
Residential,27.772457,85.3483427
Residential,27.7723957,85.3480501
Residential,27.7732897,85.3490847
Residential,27.7731557,85.3489495
Residential,27.7702923,85.354978
Residential,27.7701925,85.3547717
Residential,27.7702426,85.3549941
Residential,27.7725242,85.3548892
Residential,27.7704102,85.3560267
Residential,27.7703492,85.3560528
Residential,27.7709313,85.3573169
Residential,27.7710912,85.3572219
Residential,27.7705314,85.3566896
Residential,27.7706596,85.3566538
Residential,27.7693801,85.3564199
Residential,27.7712329,85.3568146
Residential,27.7713162,85.3573171
Residential,27.7713825,85.3574557
Residential,27.7715323,85.3574846
Residential,27.7713889,85.35745
